PrdLtv_Grupo;Str_Campus;Str_DscCampus;Str_Centro;TblGrl_CdgCrsGeral;TblGrlItm_CdgCrsGeral;TblGrlItm_DscCrsGeral;Crs_codigo;Crs_Descricao;GrdCrrSr_Codigo;GrdCrrSr_Formatacao;Dsc_Codigo;Dsc_Descricao;TtlReprovado;TtlAprovado;TtlMatricula;PrcAprovado;PrcReprovado
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;1;1º ano;FOZ0984;Cálculo Diferencial e Integral;16;31;;65;34
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;1;1º ano;FOZ0987;Computação I;41;14;;25;74
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;1;1º ano;FOZ0986;Física Geral  e Eletricidade Básica;51;17;;25;75
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;1;1º ano;FOZ0989;Geometria Analítica e Álgebra Linear;39;18;;31;68
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;1;1º ano;FOZ0988;Introdução à Ciência da Computação;13;30;;69;30
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;1;1º ano;FOZ0985;Lógica e Matemática Discreta;29;20;;40;59
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;1;1º ano;FOZ0698;Probabilidade e Estatística;40;17;;29;70
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;2;2º ano;FOZ0992;Algoritmos e Estrutura de Dados;18;14;;43;56
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;2;2º ano;FOZ0990;Cálculo Numérico;20;12;;37;62
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;2;2º ano;FOZ0991;Computação II;6;13;;68;31
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;2;2º ano;FOZ0996;Conceitos de Linguagens de Programação;13;16;;55;44
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;2;2º ano;FOZ0994;Introdução à Arquitetura de Computadores;29;6;;17;82
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;2;2º ano;FOZ0993;Introdução à Engenharia de Software;19;10;;34;65
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;2;2º ano;FOZ0997;Linguagens Formais e Autômatos;21;9;;30;70
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;2;2º ano;FOZ0995;Sistemas Digitais;10;13;;56;43
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;2;2º ano;FOZ0998;Técnicas de Redação e Metodologia Científica;7;15;;68;31
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;3;3º ano;FOZ1001;Banco de Dados;10;11;;52;47
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;3;3º ano;FOZ1005;Compiladores;0;14;;100;0
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;3;3º ano;FOZ0999;Engenharia de Software I;6;13;;68;31
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;3;3º ano;FOZ1007;Estágio Supervisionado;11;15;;57;42
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;3;3º ano;FOZ1006;Formação Empreendedora;5;10;;66;33
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;3;3º ano;FOZ1002;Organização e Arquitetura de Computadores;2;12;;85;14
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;3;3º ano;FOZ1000;Projeto e Análise de Algoritmos;5;9;;64;35
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;3;3º ano;FOZ1004;Redes de Computadores;11;20;;64;35
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;3;3º ano;FOZ1003;Sistemas Operacionais;12;10;;45;54
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;4;4º ano;FOZ1629;Cloud Computing Technologies and Security (Tecnologias em Computação em Nuvem e Segurança) (GRL0030 ;0;1;;100;0
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;4;4º ano;FOZ1010;Computação Gráfica;1;13;;92;7
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;4;4º ano;FOZ1627;Cyber Security (Segurança Cibernética) (GRL0034 Optativa II);0;1;;100;0
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;4;4º ano;FOZ1012;Engenharia de Software II;0;9;;100;0
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;4;4º ano;FOZ1628;Extremely Parallel Programming (Programação Extremamente Paralela) (GRL0034 Optativa II);0;1;;100;0
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;4;4º ano;FOZ1462;Gestão de Projetos (GRL0030 Optativa I);1;11;;91;8
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;4;4º ano;FOZ1462;Gestão de Projetos (GRL0034 Optativa II);1;3;;75;25
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;4;4º ano;FOZ1464;Inglês Instrumental para Ciência da Computação (GRL0030 Optativa I);0;1;;100;0
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;4;4º ano;FOZ1008;Inteligência Artificial;3;15;;83;16
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;4;4º ano;FOZ1013;Processamento de Imagens Digitais;0;9;;100;0
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;4;4º ano;FOZ1011;Sistemas de Informação;0;12;;100;0
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;4;4º ano;FOZ1009;Sistemas Distribuídos;0;12;;100;0
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;4;4º ano;FOZ1587;Tópicos Avançados em Engenharia de Software (GRL0030 Optativa I);1;1;;50;50
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;4;4º ano;FOZ1587;Tópicos Avançados em Engenharia de Software (GRL0034 Optativa II);1;7;;87;12
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;4;4º ano;FOZ1014;Trabalho de Conclusão de Curso;4;11;;73;26
2015;cfoz;Campus de Foz do Iguaçu;CECE/FOZ            ;CdgCrsGeral;20;Ciência da Computação;Foz0004             ;Ciência da Computação                                                                               ;4;4º ano;FOZ1630;User Experience (Experiência do Usuário) (GRL0034 Optativa II);0;1;;100;0
